order_number,path,english_name,hebrew_name,hebrew_fullspell_name,bavli,yerushalmi,hebrew_description
1,berakhot,Berakhot,בְּרָכוֹת,ברכות,1,1,"יסודות התפילה וההודיה: קריאת שמע, תפילת העמידה, ברכות הנהנין על המזון, וברכות לאירועים שונים ומזדמנים בחיים."
1,peah,Peah,פֵּאָה,פאה,,1,"מתנות עניים המושארות בשדה: דיני פאה (הפרשת קצה השדה), לקט ושכחה של יבול שנשכח, וחלוקת מתנות עניים מן התוצרת החקלאית."
1,demai,Demai,דְּמַאי,דמאי,,1,"יבול שנרכש מחקלאים שאינם נאמנים על הפרשת מעשרות: התמודדות עם ספק בתרומות ומעשרות, הגדרת ה""דמאי"", וסדר ההפרשה הנדרש להכשרת המזון."
1,kilayim,Kilayim,כִּלְאַיִם,כלאים,,1,"איסור ערבוב מינים שונים בטבע ובחקלאות: איסור זריעת זרעים וכרמים יחד, הרכבת אילנות, הכלאת בעלי חיים, ושילוב צמר ופשתן (שעטנז) בבגדים."
1,sheviit,Sheviit,שְׁבִיעִית,שביעית,,1,"דיני שנת השמיטה: השבתת עבודת האדמה, הפקרת יבול הארץ, קדושת פירות שביעית, וביטול חובות כספיים."
1,terumot,Terumot,תְּרוּמוֹת,תרומות,,1,"הפרשת תרומה גדולה לכהנים: כללי ההפרשה, איסור אכילה לזרים, שמירה על טהרת התרומה, ופדיון במקרה של אכילה בשוגג."
1,maasrot,Maasrot,מַעַשְׂרוֹת,מעשרות,,1,"מעשר ראשון ללוויים ומעשר עני: הגדרת השלב בו היבול הופך למחויב במעשר, והפרשת החלקים המיועדים לעניים וללויים."
1,maaser-sheni,Maaser Sheni,מַעֲשֵׂר שֵׁנִי,מעשר שני,,1,"העלאת יבול לירושלים: הפרשת מעשר הנאכל על ידי הבעלים בירושלים, פדיון המעשר בכסף, וביעור המעשרות מהבית בשנים קבועות."
1,challah,Challah,חַלָּה,חלה,,1,"הפרשת חלק מן הבצק לכהן: שיעור החלה הנדרש, סוגי הדגנים המחויבים, ודיני טהרת הבצק."
1,orlah,Orlah,עָרְלָה,עורלה,,1,"איסור אכילת פירות בשלוש השנים הראשונות לנטיעת האילן: הגדרת זמן הנטיעה, חוקי שתילה, ודיני פדיון הפירות בשנה הרביעית (נטע רבעי)."
1,bikkurim,Bikkurim,בִּכּוּרִים,ביכורים,,1,"הבאת פירות ראשונים לבית המקדש: טקס ההבאה, קריאת ""מקרא ביכורים"", המתנות הנלוות לכהנים, ודיני נשים וגרים בהבאתם."
2,shabbat,Shabbat,שַׁבָּת,שבת,1,1,"דיני יום המנוחה: ל""ט מלאכות אסורות, טלטול חפצים מרשות לרשות, מוקצה, ותחומי שבת."
2,eruvin,Eruvin,עֵרוּבִין,עירובין,1,1,"יצירת מרחב משותף בשבת: עירוב חצרות ושיתוף מבואות המאפשרים טלטול, ותחומי שבת המאפשרים תנועה מחוץ לעיר."
2,pesachim,Pesachim,פְּסָחִים,פסחים,1,1,"חג הפסח: ביעור וביטול חמץ, קרבן פסח, אכילת מצה ומרור, וסדר ליל הפסח."
2,shekalim,Shekalim,שְׁקָלִים,שקלים,,1,"תרומות למקדש: מחצית השקל הנגבית מדי שנה, ניהול אוצר המקדש, והוצאות הציבור."
2,yoma,Yoma,יוֹמָא,יומא,1,1,"עבודת יום הכיפורים במקדש: סדר עבודת הכהן הגדול, שילוח השעיר לעזאזל, ודיני התענית ועינוי הנפש."
2,sukkah,Sukkah,סֻכָּה,סוכה,1,1,"חג הסוכות: הלכות בניית הסוכה, נטילת ארבעת המינים, מצוות השמחה, והקרבנות המיוחדים לחג."
2,beitzah,Beitzah,בֵּיצָה,ביצה,1,1,"דיני יום טוב: הכנת אוכל, בישול, והלכות טלטול חפצים בחגים לעומת שבת."
2,rosh-hashanah,Rosh Hashanah,רֹאשׁ הַשָּׁנָה,ראש השנה,1,1,"התקדשות השנה והחודש: קביעת ראשי חודשים על פי עדים, תקיעת שופר, וסדר התפילות של יום הדין."
2,taanit,Taanit,תַּעֲנִית,תענית,1,1,"ימי תענית ציבור: תפילות על עצירת גשמים, סדרי אבלות קהילתיים, וזכר לחורבן."
2,megillah,Megillah,מְגִלָּה,מגילה,1,1,"חג הפורים: קריאת המגילה, סדרי התפילה בבתי הכנסת, ודיני מתנות לאביונים ומשלוח מנות."
2,moed-katan,Moed Katan,מוֹעֵד קָטָן,מועד קטן,1,1,"חול המועד וימי אבלות: המלאכות המותרות והאסורות בימי הביניים של החג, והלכות קבורה ואבלות במועד."
2,chagigah,Chagigah,חֲגִיגָה,חגיגה,1,1,"עלייה לרגל למקדש: קרבנות היחיד בחגים, חובת הראייה, ודיני טהרה הנדרשים בזמן החגיגות."
3,yevamot,Yevamot,יְבָמוֹת,יבמות,1,1,"נישואי קרובים וייבום: חובת ייבום או חליצה לאלמנה ללא ילדים, ודיני נשים שבעליהן נעלמו (עגונות)."
3,ketubot,Ketubot,כְּתוּבּוֹת,כתובות,1,1,"חוזה הנישואין: התחייבויות הבעל לאשתו, דמי הכתובה, זכויות הירושה, ומזונות האישה והבנות."
3,nedarim,Nedarim,נְדָרִים,נדרים,1,1,"הפרת נדרים ושבועות: ניסוח הנדר, התרת נדרים על ידי חכם, וסמכות הבעל והאב לבטל נדרי נשים."
3,nazir,Nazir,נָזִיר,נזיר,1,1,"נזירות מבחירה: איסור שתיית יין, איסור תספורת, טהרה מטומאת מת, וקרבנות הנזיר בסיום תקופתו."
3,sotah,Sotah,סוֹטָה,סוטה,1,1,"דיני אישה החשודה בבגידה: תהליך הבדיקה במקדש, השקיית המים המאררים, ודיני עדות במקרי חשד."
3,gittin,Gittin,גִּיטִּין,גיטין,1,1,"סיום הנישואין: כתיבת הגט, מסירתו על ידי שליח, ותוקפו המשפטי של תהליך הגירושין."
3,kiddushin,Kiddushin,קִדּוּשִׁין,קידושין,1,1,"יצירת קשר הנישואין: דרכי הקידוש (כסף, שטר, ביאה), תנאים בקידושין, ודיני ייחוס משפחתי."
4,bava-kamma,Bava Kamma,בָּבָא קַמָּא,בבא קמא,1,1,"נזקי ממון וגוף: דיני שור, בור, אש וכלים, פיצויים על חבלה, גניבה וגזילה."
4,bava-metzia,Bava Metzia,בָּבָא מְצִיעָא,בבא מציעא,1,1,"דיני ממונות ורכוש: מציאת אבידה, הלוואות וריבית, שומרים, והסכמי שכירות ומכירה."
4,bava-batra,Bava Batra,בָּבָא בַּתְרָא,בבא בתרא,1,1,"חוקי מקרקעין וירושה: חלוקת שותפויות, חזקה על קרקע, עריכת שטרות, וסדרי ירושה."
4,sanhedrin,Sanhedrin,סַנְהֶדְרִין,סנהדרין,1,1,"מערכת המשפט הפלילית: הרכב בתי הדין, עונשי מיתה, קבלת עדויות, ודין זקן ממרה."
4,makkot,Makkot,מַכּוֹת,מכות,1,1,"ענישה פלילית: דיני מלקות, עדי שומרי שקר (עדים זוממים), וערי מקלט לרוצח בשגגה."
4,shevuot,Shevuot,שְׁבוּעוֹת,שבועות,1,1,"סוגי שבועות: שבועת ביטוי, שבועת העדות, שבועת הפיקדון, ושבועות המוטלות על ידי בית הדין."
4,eduyot,Eduyot,עֵדֻיּוֹת,עדויות,,,"עדויות היסטוריות: אוסף פסקי דין והלכות שנמסרו על ידי חכמים כגרסאות סופיות בנושאים מגוונים."
4,avodah-zarah,Avodah Zarah,עֲבוֹדָה זָרָה,עבודה זרה,1,1,"התרחקות מעבודת כוכבים: איסור מסחר עם עובדי עבודה זרה, הרחקה מצלמים ופסלים, ודיני יין נסך."
4,avot,Avot,אָבוֹת,אבות,,,"מוסר ודרך ארץ: פתגמים, דברי חכמה וערכים של חז"ל לחיים תקינים ולתיקון המידות."
4,horayot,Horayot,הוֹרָיוֹת,הוריות,1,1,"טעויות בתי הדין: דיני קרבנות כפרה המובאים כאשר מנהיגי הציבור הורו הלכה בטעות."
5,zevachim,Zevachim,זְבָחִים,זבחים,1,,"הקרבת קרבנות מן החי: שחיטה, זריקת הדם, העלאת אימורים, והלכות מחשבה פסולה בזמן העבודה."
5,menachot,Menachot,מְנָחוֹת,מנחות,1,,"קרבנות מן הצומח: הכנת המנחה, בלילתה בשמן, הקרבת הקומץ, ודיני נסכים ולבונה."
5,chullin,Chullin,חֻלִּין,חולין,1,,"שחיטה למטרת אכילה: הלכות שחיטה כשרה, איסור דם וחלב, גיד הנשה, ואיסור בשר בחלב."
5,bekhorot,Bekhorot,בְּכוֹרוֹת,בכורות,1,,"קדושת הבכור: פדיון הבן, בכור בהמה טהורה וטמאה, והמומים הפוסלים בהמה מהקרבה."
5,arakhin,Arakhin,עֲרָכִין,ערכין,1,,"הקדשות למקדש: הערכת שווי אדם או חפץ שנדר ערכם למקדש, ודיני גאולת קרקע שהוקדשה."
5,temurah,Temurah,תְּמוּרָה,תמורה,1,,"החלפת בהמת קרבן: איסור המרת בהמה שהוקדשה באחרת, ותחולת הקדושה על שתי הבהמות."
5,keritot,Keritot,כְּרֵתוֹת,כריתות,1,,"עונשי כרת: חטאים שנעשו במזיד וחייבים כרת, וקרבן אשם תלוי המובא על ספק עבירה."
5,meilah,Meilah,מְעִילָה,מעילה,1,,"שימוש לא חדין ברכוש המקדש: דיני המועל בקודש בשוגג, פיצוי הקרן ותשלום חומש."
5,tamid,Tamid,תָּמִיד,תמיד,1,,"סדר עבודת היומיום במקדש: הקרבת קרבן התמיד בבוקר ובין הערביים, ופירוט תפקידי הכהנים."
