slug,english_title,hebrew_title,group
introduction,Introduction,הקדמה,בראשית
bereshit,Bereshit,בראשית,בראשית
noach,Noach,נח,בראשית
lech-lecha,Lech Lecha,לך לך,בראשית
vayera,Vayera,וירא,בראשית
chayei-sara,Chayei Sara,חיי שרה,בראשית
toldot,Toldot,תולדות,בראשית
vayetzei,Vayetzei,ויצא,בראשית
vayishlach,Vayishlach,וישלח,בראשית
vayeshev,Vayeshev,וישב,בראשית
miketz,Miketz,מקץ,בראשית
vayigash,Vayigash,ויגש,בראשית
vayechi,Vayechi,ויחי,בראשית
shemot,Shemot,שמות,שמות
vaera,Vaera,וארא,שמות
bo,Bo,בא,שמות
beshalach,Beshalach,בשלח,שמות
yitro,Yitro,יתרו,שמות
mishpatim,Mishpatim,משפטים,שמות
terumah,Terumah,תרומה,שמות
sifra-ditzniuta,Sifra DiTzniuta,ספרא דצניעותא,נוספים
tetzaveh,Tetzaveh,תצוה,שמות
ki-tisa,Ki Tisa,כי תשא,שמות
vayakhel,Vayakhel,ויקהל,שמות
pekudei,Pekudei,פקודי,שמות
vayikra,Vayikra,ויקרא,ויקרא
tzav,Tzav,צו,ויקרא
shmini,Shmini,שמיני,ויקרא
tazria,Tazria,תזריע,ויקרא
metzora,Metzora,מצורע,ויקרא
achrei-mot,Achrei Mot,אחרי מות,ויקרא
kedoshim,Kedoshim,קדושים,ויקרא
emor,Emor,אמור,ויקרא
behar,Behar,בהר,ויקרא
bechukotai,Bechukotai,בחוקותי,ויקרא
bamidbar,Bamidbar,במדבר,במדבר
nasso,Nasso,נשא,במדבר
idra-rabba,Idra Rabba,אדרא רבא,נוספים
behaalotcha,Beha'alotcha,בהעלותך,במדבר
shlach,Sh'lach,שלח,במדבר
korach,Korach,קרח,במדבר
chukat,Chukat,חקת,במדבר
balak,Balak,בלק,במדבר
pinchas,Pinchas,פינחס,במדבר
matot,Matot,מטות,במדבר
vaetchanan,Vaetchanan,ואתחנן,דברים
eikev,Eikev,עקב,דברים
shoftim,Shoftim,שופטים,דברים
ki-teitzei,Ki Teitzei,כי תצא,דברים
vayeilech,Vayeilech,וילך,דברים
haazinu,Ha'Azinu,האזינו,דברים
idra-zuta,Idra Zuta,אדרא זוטא,נוספים
addenda,Addenda,הוספות,נוספים
