slug,english_title,hebrew_title,section
bereshit,Bereshit,בראשית,בראשית
noach,Noach,נח,בראשית
lech-lecha,Lech Lecha,לך לך,בראשית
vayera,Vayera,וירא,בראשית
toldot,Toldot,תולדות,בראשית
vayetzei,Vayetzei,ויצא,בראשית
vayeshev,Vayeshev,וישב,בראשית
beshalach,Beshalach,בשלח,שמות
yitro,Yitro,יתרו,שמות
terumah,Terumah,תרומה,שמות
ki-tisa,Ki Tisa,כי תשא,שמות
tzav,Tzav,צו,ויקרא
achrei-mot,Achrei Mot,אחרי מות,ויקרא
behar,Behar,בהר,ויקרא
nasso,Nasso,נשא,במדבר
chukat,Chukat,חקת,במדבר
balak,Balak,בלק,במדבר
matot,Matot,מטות,במדבר
vaetchanan,Vaetchanan,ואתחנן,דברים
ki-teitzei,Ki Teitzei,כי תצא,דברים
ki-tavo,Ki Tavo,כי תבוא,דברים
shir-hashirim,Shir HaShirim,שיר השירים,נוספים
midrash-rut,Midrash Rut,מדרש רות,נוספים
midrash-haneelam-al-eichah,Midrash HaNe'elam Al Eichah,מדרש הנעלם על איכה,נוספים
tikkunim-mizohar-chadash,Tikkunim Mizohar Chadash,תיקונים מזוהר חדש,נוספים
sifra-tanina,Sifra Tanina,ספרא תנינא,נוספים
tikuna-kadmaah,Tikuna Kadma'ah,תיקונא קדמאה,נוספים
more-about-parshat-noach,More about Parshat Noach,הוספות על פרשת נח,נוספים
more-about-parshat-shelach,More about Parshat Shelach,הוספות על פרשת שלח,נוספים
more-about-parshat-vayera,More about Parshat Vayera,הוספות על פרשת וירא,נוספים
